"starting","ending","total"
613,89851,89238
613,89851,89238
613,89851,89238
613,89851,89238
615,89859,89244
615,89859,89244
615,89859,89244
615,89859,89244
616,89863,89247
616,89863,89247
616,89863,89247
616,89863,89247
617,89786,89169
617,89796,89179
617,89796,89179
617,89796,89179
619,90283,89664
619,90283,89664
619,90283,89664
619,90283,89664
619,90369,89750
619,90371,89752
619,90369,89750
619,90371,89752
620,90044,89424
620,90047,89427
620,90054,89434
620,90058,89438
622,91141,90519
622,91141,90519
622,91141,90519
622,91141,90519
623,90457,89834
623,90620,89997
623,90595,89972
623,90457,89834
623,91171,90548
623,91171,90548
623,91171,90548
623,91171,90548
625,90965,90340
625,90965,90340
625,90978,90353
625,90965,90340
625,90977,90352
625,90977,90352
625,90977,90352
625,90977,90352
627,91457,90830
627,91457,90830
627,91457,90830
627,91457,90830
628,91334,90706
628,91334,90706
628,91334,90706
628,91334,90706
628,92087,91459
628,92087,91459
628,92087,91459
628,92087,91459
630,91896,91266
630,91896,91266
630,91896,91266
630,91896,91266
634,91708,91074
634,91708,91074
634,91708,91074
634,91708,91074
630,91766,91136
630,91766,91136
630,91766,91136
630,91766,91136
633,92112,91479
633,92112,91479
633,92112,91479
633,92112,91479
634,91987,91353
634,91987,91353
634,91987,91353
634,91987,91353
634,92506,91872
634,92506,91872
634,92506,91872
634,92506,91872
636,93005,92369
636,93005,92369
636,93005,92369
636,93005,92369
638,92017,91379
638,92017,91379
638,92017,91379
638,92017,91379
637,93781,93144
637,93781,93144
637,93781,93144
637,93781,93144
638,93042,92404
638,93042,92404
638,93042,92404
638,93042,92404
639,116976,116337
639,116976,116337
639,116976,116337
639,116976,116337
641,120672,120031
641,120672,120031
641,120670,120029
641,120703,120062
642,111206,110564
642,111206,110564
642,111206,110564
642,111206,110564
645,117723,117078
645,117723,117078
645,117750,117105
645,117750,117105
645,128698,128053
645,128698,128053
645,128698,128053
645,128698,128053
647,127342,126695
647,127338,126691
647,127331,126684
647,127331,126684
647,136756,136109
647,136756,136109
647,136756,136109
647,136756,136109
